PWO_J33_before	
Wavelength (nm)	%T
728.5	71.12467194
728	71.0485611
727.5	71.10487366
727	71.05937195
726.5	71.12311554
726	71.07316589
725.5	71.07024384
725	71.08000183
724.5	71.11065674
724	71.09072876
723.5	71.10451508
723	71.08109283
722.5	71.08877563
722	71.08877563
721.5	71.11331177
721	71.09700775
720.5	71.06016541
720	71.07312775
719.5	71.11265564
719	71.09760284
718.5	71.03568268
718	71.05251312
717.5	71.08194733
717	71.0580368
716.5	71.103302
716	71.08297729
715.5	71.09817505
715	71.05877686
714.5	71.05272675
714	71.05697632
713.5	71.09479523
713	71.07167053
712.5	71.0759201
712	71.09064484
711.5	71.10447693
711	71.07514954
710.5	71.05441284
710	71.0710144
709.5	71.10444641
709	71.0969696
708.5	71.07714844
708	71.0737915
707.5	71.09231567
707	71.11022186
706.5	71.04190826
706	71.10542297
705.5	71.07455444
705	71.08379364
704.5	71.11043549
704	71.12016296
703.5	71.03623962
703	71.06797791
702.5	71.05554199
702	71.07328033
701.5	71.07318878
701	71.07016754
700.5	71.10460663
700	71.08712006
699.5	71.09439087
699	71.0536499
698.5	71.11644745
698	71.10303497
697.5	71.11402893
697	71.11766815
696.5	71.12361145
696	71.09780121
695.5	71.11586761
695	71.15237427
694.5	71.1269455
694	71.10266113
693.5	71.11988831
693	71.12363434
692.5	71.11916351
692	71.10969543
691.5	71.10551453
691	71.13951111
690.5	71.14235687
690	71.1129837
689.5	71.10823059
689	71.13651276
688.5	71.14109039
688	71.13786316
687.5	71.14048004
687	71.14029694
686.5	71.11540222
686	71.1230011
685.5	71.11565399
685	71.13413239
684.5	71.15990448
684	71.13365936
683.5	71.12738037
683	71.14076996
682.5	71.11405945
682	71.09754181
681.5	71.13878632
681	71.12763214
680.5	71.12966919
680	71.13918304
679.5	71.15395355
679	71.16699219
678.5	71.13486481
678	71.12519073
677.5	71.10626221
677	71.13062286
676.5	71.13143921
676	71.11955261
675.5	71.13777161
675	71.1136322
674.5	71.12307739
674	71.13127899
673.5	71.09991455
673	71.12619019
672.5	71.13515472
672	71.14381409
671.5	71.1271286
671	71.11011505
670.5	71.14774323
670	71.14311218
669.5	71.12413025
669	71.11193848
668.5	71.10583496
668	71.12255096
667.5	71.11042786
667	71.10843658
666.5	71.10322571
666	71.10962677
665.5	71.08672333
665	71.08219147
664.5	71.1026001
664	71.07521057
663.5	71.09603119
663	71.07280731
662.5	71.05989075
662	71.06348419
661.5	71.04776764
661	71.03050232
660.5	71.03541565
660	71.02937317
659.5	71.0284729
659	71.00776672
658.5	70.97281647
658	71.00548553
657.5	70.97546387
657	70.96794891
656.5	70.95661926
656	70.92998505
655.5	70.90036774
655	70.92334747
654.5	70.91610718
654	70.91048431
653.5	70.88052368
653	70.83998871
652.5	70.87572479
652	70.84157562
651.5	70.7990036
651	70.8014679
650.5	70.77148438
650	70.75140381
649.5	70.7534256
649	70.75382233
