nm; E1
499.000000; 24.597100
498.000000; 22.271800
497.000000; 20.247100
496.000000; 18.491400
495.000000; 16.995600
494.000000; 15.738600
493.000000; 14.694300
492.000000; 13.821400
491.000000; 13.101900
490.000000; 12.526700
489.000000; 12.079800
488.000000; 11.739100
487.000000; 11.503900
486.000000; 11.359300
485.000000; 11.316700
484.000000; 11.384800
483.000000; 11.627500
482.000000; 12.135200
481.000000; 12.919500
480.000000; 13.899200
479.000000; 14.970100
478.000000; 15.974500
477.000000; 16.894500
476.000000; 17.816100
475.000000; 18.768600
474.000000; 19.770700
473.000000; 20.803700
472.000000; 21.862700
471.000000; 22.925800
470.000000; 23.969900
469.000000; 24.958100
468.000000; 25.831200
467.000000; 26.511700
466.000000; 26.943400
465.000000; 27.091700
464.000000; 26.924000
463.000000; 26.422400
462.000000; 25.616900
461.000000; 24.586200
460.000000; 23.384600
459.000000; 22.080000
458.000000; 20.746700
457.000000; 19.429500
456.000000; 18.163700
455.000000; 16.977900
454.000000; 15.878500
453.000000; 14.890500
452.000000; 14.009300
451.000000; 13.209200
450.000000; 12.498400
449.000000; 11.863500
448.000000; 11.283600
447.000000; 10.748600
446.000000; 10.249600
445.000000; 9.872700
444.000000; 9.681600
443.000000; 9.657600
442.000000; 9.678000
441.000000; 9.655100
440.000000; 9.608300
439.000000; 9.551600
438.000000; 9.484600
437.000000; 9.416600
436.000000; 9.342100
435.000000; 9.266700
434.000000; 9.194800
433.000000; 9.113100
432.000000; 9.030200
431.000000; 8.948600
430.000000; 8.874900
429.000000; 8.793800
428.000000; 8.708400
427.000000; 8.627700
426.000000; 8.550400
425.000000; 8.467600
424.000000; 8.376900
423.000000; 8.292900
422.000000; 8.215600
421.000000; 8.126200
420.000000; 8.040700
419.000000; 7.954400
418.000000; 7.868900
417.000000; 7.776000
416.000000; 7.674700
415.000000; 7.583200
414.000000; 7.480200
413.000000; 7.374100
412.000000; 7.271100
411.000000; 7.167300
410.000000; 7.058800
409.000000; 6.944600
408.000000; 6.831000
407.000000; 6.708000
406.000000; 6.589100
405.000000; 6.471000
404.000000; 6.352100
403.000000; 6.230600
402.000000; 6.122400
401.000000; 6.006900
400.000000; 5.902700
399.000000; 5.793500
398.000000; 5.692000
397.000000; 5.589800
396.000000; 5.488300
395.000000; 5.386000
394.000000; 5.288500
393.000000; 5.202500
392.000000; 5.107600
391.000000; 5.017600
390.000000; 4.929200
389.000000; 4.846300
388.000000; 4.762900
387.000000; 4.682300
386.000000; 4.603400
385.000000; 4.525800
384.000000; 4.447100
383.000000; 4.367200
382.000000; 4.294000
381.000000; 4.222000
380.000000; 4.148000
379.000000; 1.424600
378.000000; 0.938800
377.000000; 1.086200
376.000000; 1.236600
375.000000; 1.386600
374.000000; 1.524100
373.000000; 1.656800
372.000000; 1.776500
371.000000; 1.893500
370.000000; 1.989400
369.000000; 2.079700
368.000000; 2.162600
367.000000; 2.230400
366.000000; 2.287900
365.000000; 2.333100
364.000000; 2.370300
363.000000; 2.399200
362.000000; 2.414000
361.000000; 2.423200
360.000000; 2.430500
359.000000; 2.416300
358.000000; 2.404600
357.000000; 2.381200
356.000000; 2.353300
355.000000; 2.314600
354.000000; 2.274700
353.000000; 2.221600
352.000000; 2.161000
351.000000; 2.095900
350.000000; 2.024000
349.000000; 1.943900
348.000000; 1.854200
347.000000; 1.758500
346.000000; 1.654300
345.000000; 1.543500
344.000000; 1.423200
343.000000; 1.293500
342.000000; 1.161400
341.000000; 1.023700
340.000000; 0.878200
339.000000; 0.735800
338.000000; 0.593400
337.000000; 0.458700
336.000000; 0.331300
335.000000; 0.220700
334.000000; 0.137500
333.000000; 0.075100
332.000000; 0.034000
331.000000; 0.014300
330.000000; 0.008100
329.000000; 0.002400
328.000000; 0.000400
327.000000; 0.001600
326.000000; 0.005100
