nm, %T_slow_20171215, %T_fast_20171215, E1_fast_20171215, E1_empty_fast_20171215,result_fast_20171215, E1_slow_20171215, E1_empty_slow_20171215,result_slow_20171215, %T_fast_20171218, %T_slow_20171218, E1_fast_20171218, E1_empty_fast_20171218,result_fast_20171218
791,73.153736,72.357439,0.9289,1.2809,72.51932235,0.9373,1.2967,72.28348886,72.709257,72.570555,0.9718,1.3428,72.3711647304
790,73.286526,72.366025,0.9446,1.3003,72.64477428,0.9524,1.3176,72.28293868,72.665511,72.638841,0.9858,1.3597,72.5012870486
789,73.040722,72.519461,0.9582,1.3216,72.50302663,0.9677,1.3383,72.30815213,72.943542,72.465523,0.9993,1.3819,72.3134814386
788,72.977432,72.683678,0.9715,1.3429,72.34343585,0.9829,1.3584,72.35718492,72.703252,72.607074,1.0183,1.405,72.4768683274
787,73.121624,72.404136,0.9909,1.3627,72.71593161,0.9984,1.3807,72.31114652,72.59588,72.797682,1.0341,1.4293,72.3501014483
786,72.974573,72.349683,1.0097,1.3842,72.94466118,1.0147,1.4049,72.22578119,72.803933,72.745109,1.0507,1.4512,72.4021499449
785,73.051233,72.508033,1.0224,1.4088,72.57240204,1.0306,1.4285,72.14560728,72.749268,72.611659,1.0656,1.4773,72.1315914168
784,72.954397,72.32925,1.0385,1.4353,72.35421166,1.0473,1.4523,72.11319975,72.622857,72.668783,1.0848,1.5018,72.233320016
783,73.03007,72.375187,1.0574,1.458,72.52400549,1.0657,1.4762,72.19211489,72.712583,72.594771,1.1042,1.5237,72.4683336615
782,73.096759,72.324742,1.0754,1.4805,72.63762242,1.0836,1.5007,72.20630372,72.505006,72.657736,1.121,1.548,72.4160206718
781,73.033804,72.265655,1.0908,1.5055,72.45433411,1.1026,1.5262,72.24479098,72.472474,72.579204,1.14,1.5747,72.3947418556
780,72.939584,72.219523,1.1096,1.5322,72.41874429,1.1192,1.5511,72.15524467,72.546084,72.446286,1.161,1.6046,72.3544808675
779,72.947441,72.155146,1.1281,1.5548,72.55595575,1.1385,1.5762,72.23068139,72.767714,72.415386,1.1808,1.6255,72.6422639188
778,72.901459,72.067583,1.148,1.5813,72.59849491,1.1576,1.602,72.25967541,72.587735,72.476182,1.1949,1.6548,72.2081218274
777,72.911844,72.336843,1.1636,1.6101,72.26880318,1.1771,1.6288,72.26792731,72.435072,72.522039,1.2169,1.6855,72.1981607832
776,72.959749,72.312456,1.186,1.6383,72.39211378,1.1974,1.6568,72.27184935,72.5303,72.562056,1.2398,1.7131,72.3717237756
775,72.925545,72.334506,1.2048,1.6642,72.39514481,1.2173,1.6855,72.22189261,72.499003,72.599412,1.2595,1.7404,72.3684210526
774,72.794196,72.250225,1.2262,1.6941,72.38061508,1.2376,1.7146,72.18010031,72.463402,72.623226,1.2781,1.7715,72.1478972622
773,72.973705,72.293413,1.2436,1.7258,72.0593348,1.2592,1.7436,72.21839872,72.303736,72.556933,1.3004,1.8025,72.1442441054
772,73.000629,72.135354,1.2689,1.7525,72.40513552,1.2806,1.774,72.18714769,72.375946,72.568149,1.3261,1.8349,72.2709684451
771,72.989121,72.221493,1.2916,1.7819,72.48442674,1.3016,1.8047,72.12279049,72.515518,72.509325,1.3458,1.8621,72.2732398904
770,72.965169,72.334337,1.3115,1.8133,72.32669718,1.3227,1.8345,72.10139002,72.552417,72.477646,1.3697,1.8951,72.2758693473
769,72.978666,72.435879,1.3322,1.8449,72.20987587,1.3446,1.8652,72.08878404,72.565183,72.428357,1.3949,1.9276,72.3645984644
768,73.04541,72.133207,1.3572,1.8746,72.39944521,1.3696,1.8972,72.19059667,72.62624,72.463621,1.417,1.9601,72.2922299883
767,72.971691,72.044054,1.3811,1.9057,72.47205751,1.3922,1.9301,72.13097767,72.497821,72.524587,1.438,1.9908,72.2322684348
766,72.824561,72.099076,1.4001,1.9389,72.2110475,1.4145,1.9606,72.14628175,72.368238,72.580604,1.4621,2.0244,72.2238688006
765,72.919147,72.147855,1.4225,1.9689,72.24846361,1.435,1.9912,72.06709522,72.46462,72.476212,1.4855,2.0592,72.1396658897
764,72.976783,72.040103,1.4468,1.9974,72.43416441,1.4576,2.0228,72.05853273,72.612835,72.430109,1.5103,2.0858,72.4086681369
763,72.889514,72.084587,1.4709,2.0312,72.41532099,1.4828,2.0547,72.16625298,72.572632,72.484916,1.5321,2.1185,72.3200377626
762,72.888184,72.039115,1.4945,2.0678,72.27488152,1.5074,2.0908,72.09680505,72.540789,72.486699,1.5586,2.1583,72.214242691
761,72.800258,72.109658,1.5172,2.1008,72.22010663,1.5313,2.1242,72.0883156,72.467623,72.440568,1.5832,2.1931,72.1900506133
760,72.772449,71.976341,1.5433,2.134,72.31958763,1.5569,2.1593,72.10207012,72.610766,72.470993,1.6092,2.2252,72.3170950926
759,72.719886,72.082966,1.5735,2.1769,72.28168496,1.5865,2.2023,72.03832357,72.581439,72.497384,1.6399,2.2704,72.2295630726
758,72.716771,72.163793,1.6032,2.2215,72.16745442,1.619,2.2465,72.06766081,72.625956,72.431816,1.6735,2.3157,72.2675648832
757,72.768603,72.087687,1.6323,2.2617,72.17137551,1.6482,2.2869,72.07136298,72.466193,72.285411,1.705,2.3592,72.2702611055
756,72.794861,72.159163,1.6626,2.2985,72.33413095,1.6766,2.3251,72.10872651,72.417873,72.295722,1.732,2.3984,72.2148098732
755,72.819641,72.131768,1.689,2.3371,72.26905139,1.7042,2.3657,72.03787462,72.447749,72.382695,1.7589,2.4401,72.0831113479
754,72.741456,72.161729,1.7149,2.3791,72.0818797,1.7315,2.4066,71.9479764,72.496246,72.427963,1.7923,2.4825,72.1973816717
753,72.768399,72.016742,1.7479,2.4194,72.24518476,1.7615,2.4469,71.98904737,72.480964,72.427505,1.8221,2.523,72.2195798652
752,72.774405,71.951832,1.7781,2.4598,72.28636475,1.7911,2.4889,71.96351802,72.443571,72.403392,1.8492,2.5647,72.1020002339
751,72.871351,71.992959,1.8055,2.4997,72.22866744,1.8209,2.5311,71.9410533,72.426943,72.440237,1.8783,2.6098,71.971032263
750,72.78895,72.001266,1.8353,2.5415,72.21325989,1.8518,2.5733,71.96207205,72.410323,72.481097,1.9102,2.6533,71.9933667508
749,72.800157,72.03839,1.8681,2.5846,72.2781088,1.8841,2.6179,71.96989954,72.324522,72.44142,1.9445,2.6952,72.1467794598
748,72.764376,72.003946,1.9003,2.6336,72.1559842,1.9151,2.6604,71.98541573,72.379772,72.376784,1.9736,2.7371,72.1055131343
747,72.793122,71.970713,1.9293,2.6762,72.09102459,1.9465,2.7064,71.92211055,72.395552,72.440562,2.0074,2.7841,72.1022951762
746,72.83121,71.983947,1.9586,2.716,72.11340206,1.9782,2.7514,71.89794287,72.273927,72.42017,2.0427,2.833,72.1037769149
745,72.769351,71.979221,1.995,2.7611,72.25381189,2.0107,2.7968,71.89287757,72.259697,72.358598,2.0764,2.8796,72.1072371163
744,72.657007,72.041601,2.0306,2.8108,72.24277786,2.0455,2.8422,71.96889733,72.320039,72.287092,2.1085,2.9244,72.1002598824
743,72.677169,71.917997,2.061,2.8582,72.10831992,2.0797,2.8885,71.9993076,72.383621,72.227238,2.1438,2.9728,72.1138320775
742,72.678929,71.930392,2.0957,2.9069,72.09398328,2.1141,2.9376,71.96691176,72.368123,72.198884,2.1811,3.0234,72.1406363697
741,72.67015,71.923656,2.1316,2.9552,72.13048186,2.1489,2.9868,71.94656489,72.298025,72.259423,2.2157,3.073,72.1021802799
740,72.69692,71.862624,2.1659,3.0045,72.08853387,2.1839,3.0353,71.95005436,72.287603,72.273557,2.2502,3.1225,72.064051241
739,72.69972,71.88786,2.199,3.0536,72.01336128,2.2191,3.0858,71.91328019,72.286205,72.324951,2.2873,3.173,72.0863536086
738,72.678588,71.934946,2.2357,3.0986,72.15193959,2.256,3.1377,71.89979922,72.220567,72.344385,2.3246,3.2258,72.0627441255
737,72.679445,71.896873,2.2756,3.1489,72.26650576,2.292,3.1899,71.85178219,72.283871,72.309806,2.361,3.2765,72.0585991149
736,72.602282,71.903224,2.3125,3.2041,72.17315315,2.329,3.2435,71.80514876,72.413735,72.196919,2.3992,3.3321,72.0026409772
735,72.58003,71.890657,2.3476,3.2573,72.07196144,2.3684,3.2951,71.87642257,72.372098,72.192901,2.4379,3.3889,71.9377969253
